0,0.817
0.001,0.807
0.002,0.807
0.003,0.803
0.004,0.794
0.005,0.793
0.006,0.79
0.007,0.787
0.008,0.777
0.009,0.78
0.01,0.767
0.011,0.777
0.012,0.761
0.013,0.761
0.014,0.754
0.015,0.751
0.016,0.761
0.017,0.754
0.018,0.751
0.019,0.754
0.02,0.774
0.021,0.754
0.022,0.748
0.023,0.757
0.024,0.761
0.025,0.754
0.026,0.764
0.027,0.754
0.028,0.757
0.029,0.748
0.03,0.751
0.031,0.754
0.032,0.751
0.033,0.748
0.034,0.747
0.035,0.747
0.036,0.747
0.037,0.744
0.038,0.744
0.039,0.741
0.04,0.751
0.041,0.761
0.042,0.748
0.043,0.744
0.044,0.751
0.045,0.764
0.046,0.744
0.047,0.741
0.048,0.744
0.049,0.741
0.05,0.738
0.051,0.741
0.052,0.754
0.053,0.741
0.054,0.747
0.055,0.747
0.056,0.754
0.057,0.744
0.058,0.767
0.059,0.761
0.06,0.764
0.061,0.767
0.062,0.774
0.063,0.761
0.064,0.757
0.065,0.777
0.066,0.767
0.067,0.767
0.068,0.761
0.069,0.774
0.07,0.761
0.071,0.757
0.072,0.761
0.073,0.774
0.074,0.78
0.075,0.806
0.076,0.803
0.077,0.816
0.078,0.849
0.079,0.888
0.08,0.905
0.081,0.928
0.082,0.957
0.083,0.987
0.084,1.007
0.085,1.03
0.086,1.053
0.087,1.069
0.088,1.089
0.089,1.096
0.09,1.096
0.091,1.092
0.092,1.102
0.093,1.112
0.094,1.112
0.095,1.089
0.096,1.057
0.097,1.017
0.098,0.975
0.099,0.935
0.1,0.892
0.101,0.814
0.102,0.764
0.103,0.699
0.104,0.627
0.105,0.548
0.106,0.489
0.107,0.397
0.108,0.367
0.109,0.321
0.11,0.268
0.111,0.248
0.112,0.186
0.113,0.137
0.114,0.101
0.115,0.084
0.116,0.055
0.117,0.048
0.118,-0.001
0.119,-0.024
0.12,-0.015
0.121,0.011
0.122,0.038
0.123,0.1
0.124,0.139
0.125,0.201
0.126,0.248
0.127,0.3
0.128,0.33
0.129,0.373
0.13,0.399
0.131,0.422
0.132,0.448
0.133,0.484
0.134,0.517
0.135,0.537
0.136,0.56
0.137,0.599
0.138,0.639
0.139,0.639
0.14,0.672
0.141,0.698
0.142,0.708
0.143,0.711
0.144,0.744
0.145,0.764
0.146,0.774
0.147,0.78
0.148,0.79
0.149,0.813
0.15,0.807
0.151,0.813
0.152,0.81
0.153,0.826
0.154,0.826
0.155,0.839
0.156,0.817
0.157,0.82
0.158,0.83
0.159,0.839
0.16,0.833
